lat_r,lon_r,start_rides,geometry,dot_class,index_right,zip,zip_class,matrix_cat,start_station_name
38.9039,-77.0317,2,POINT (-8575129.618940212 4707915.405538172),medium,68.0,20005,dark,Balanced,14th & L St NW
38.9039,-77.0315,2,POINT (-8575107.355042052 4707915.405538172),medium,68.0,20005,dark,Balanced,14th & L St NW
38.9039,-77.0286,10,POINT (-8574784.528518753 4707915.405538172),medium,68.0,20005,dark,Balanced,12th & L St NW
38.9039,-77.0285,35,POINT (-8574773.396569671 4707915.405538172),large,68.0,20005,dark,High-turnover hub,12th & L St NW
38.9039,-77.0284,26,POINT (-8574762.264620595 4707915.405538172),large,68.0,20005,dark,High-turnover hub,12th & L St NW
38.9039,-77.0283,1,POINT (-8574751.132671515 4707915.405538172),small,68.0,20005,dark,Net sink ZIP,12th & L St NW
38.9039,-77.0119,28,POINT (-8572925.493022505 4707915.405538172),large,59.0,20001,dark,High-turnover hub,1st & L St NW
38.9039,-77.0118,53,POINT (-8572914.361073425 4707915.405538172),large,59.0,20001,dark,High-turnover hub,1st & L St NW
38.9039,-77.0117,17,POINT (-8572903.229124347 4707915.405538172),medium,59.0,20001,dark,Balanced,1st & L St NW
38.904,-77.0677,1,POINT (-8579137.12060877 4707929.710281376),small,46.0,20007,dark,Net sink ZIP,34th & Water St NW
38.904,-77.0535,1,POINT (-8577556.383839505 4707929.710281376),small,70.0,20037,dark,Net sink ZIP,25th St & Pennsylvania Ave NW
38.904,-77.0471,2,POINT (-8576843.939098427 4707929.710281376),medium,70.0,20037,dark,Balanced,21st & L St NW 
38.904,-77.047,3,POINT (-8576832.807149349 4707929.710281376),medium,70.0,20037,dark,Balanced,21st & L St NW 
38.904,-77.0469,7,POINT (-8576821.675200269 4707929.710281376),medium,70.0,20037,dark,Balanced,21st & L St NW 
38.904,-77.0468,4,POINT (-8576810.54325119 4707929.710281376),medium,70.0,20037,dark,Balanced,21st & L St NW 
38.904,-77.0467,2,POINT (-8576799.411302112 4707929.710281376),medium,70.0,20037,dark,Balanced,21st & L St NW 
38.904,-77.0466,1,POINT (-8576788.27935303 4707929.710281376),small,71.0,20036,dark,Net sink ZIP,21st & L St NW 
38.904,-77.0465,3,POINT (-8576777.147403952 4707929.710281376),medium,71.0,20036,dark,Balanced,21st & L St NW 
38.904,-77.0422,1,POINT (-8576298.47359354 4707929.710281376),small,71.0,20036,dark,Net sink ZIP,18th & L St NW
