lat_r,lon_r,start_rides,geometry,dot_class,index_right,zip,zip_class,matrix_cat,start_station_name
38.9054,-77.0502,1,POINT (-8577189.029519888 4708129.978801814),small,70.0,20037,dark,Net sink ZIP,23rd & M St NW
38.9054,-77.0452,2,POINT (-8576632.43206592 4708129.978801814),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9054,-77.0451,6,POINT (-8576621.300116843 4708129.978801814),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9054,-77.045,21,POINT (-8576610.168167762 4708129.978801814),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9054,-77.0449,8,POINT (-8576599.036218682 4708129.978801814),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9054,-77.0448,4,POINT (-8576587.904269604 4708129.978801814),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9054,-77.0447,5,POINT (-8576576.772320526 4708129.978801814),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9054,-77.0445,1,POINT (-8576554.508422365 4708129.978801814),small,71.0,20036,dark,Net sink ZIP,20th & M St NW 
38.9054,-77.035,3,POINT (-8575496.973259829 4708129.978801814),medium,68.0,20005,dark,Balanced,15th & M St NW
38.9054,-77.0349,2,POINT (-8575485.841310749 4708129.978801814),medium,68.0,20005,dark,Balanced,15th & M St NW
38.9054,-77.0348,20,POINT (-8575474.70936167 4708129.978801814),medium,68.0,20005,dark,Balanced,15th & M St NW
38.9054,-77.0347,1090,POINT (-8575463.577412592 4708129.978801814),large,68.0,20005,dark,High-turnover hub,15th & M St NW
